school_id,student_id,state_student_id,first_name,last_name,gender,race,grade,birth_date
60918,680572,4344687,David,Lucas,Male,White,12,4/4/2005
60918,667024,7189423,Aileen,Brandt,Female,Multiple,12,6/25/2005
60918,342169,2527807,Joyce,Riley,Female,Asian,12,11/21/2005
60918,776777,1647309,Chris,Short,Male,Black,8,11/5/2010
60918,561733,6923796,Sara,Leon,Female,White,8,4/12/2008
60918,103799,8793046,Kelvin,Wilson,Male,Multiple,9,1/15/2008
60918,308292,2148519,Martina,Ramirez,Female,Asian,8,5/28/2009
60918,260954,6142344,Reginald,Knight,Male,White,9,9/16/2008
60918,553348,4879862,Thomas,Taylor,Male,White,11,10/5/2007
60918,913156,6804435,Teresa,Hernandez,Female,Hispanic,11,1/1/2005
60918,960728,2864473,Edward,May,Male,Black,12,12/19/2005
60918,243072,2691147,Chris,Cooper,Female,Black,12,2/17/2005
60918,922859,8993161,Josiah,Morris,Male,Asian,10,2/6/2007
60918,211496,6791891,Kenneth,Smith,Male,Hispanic,9,2/8/2008
60918,770631,2993623,Virginia,Griffin,Female,Black,12,5/13/2004
60918,924181,9608192,James,Ford,Male,White,10,3/1/2008
60918,788950,2319625,Roberta,Chen,Female,Multiple,9,12/24/2008
60918,613145,7842432,James,Wilson,Female,Black,12,8/27/2006
60918,937502,9439532,Thomas,Romero,Male,Asian,8,2/26/2009
60918,208219,6899410,John,James,Male,Black,11,4/8/2006
60918,196787,9857962,Margaret,Mueller,Female,Multiple,12,5/23/2005
60918,532336,8217991,Tara,Kim,Female,Black,9,4/5/2007
60918,958393,3148089,Eileen,Blanchard,Female,Black,11,11/22/2006
60918,383485,3897364,Karen,Hardin,Female,Black,12,4/12/2004
60918,782161,3489631,Celia,Smith,Female,Black,8,2/4/2009
60918,795210,6644563,Dustin,Ramirez,Male,Multiple,10,8/18/2006
60918,380804,5473873,Carol,Bradley,Male,Hispanic,8,5/19/2009
60918,804543,3458376,Judy,Horton,Female,Black,8,7/11/2009
60918,429265,1549378,Shelley,Thomas,Female,Hispanic,11,10/10/2006
