school_id,student_id,state_student_id,first_name,last_name,gender,race,grade,birth_date
15628,993792,8011665,Toby,Ballard,Male,White,12,5/14/2005
15628,743808,7217863,Gary,Roberts,Male,Multiple,12,12/25/2005
15628,529927,2422078,Hope,Guerrero,Female,White,10,3/17/2007
15628,793479,8240139,Ronald,Mendoza,Male,Multiple,8,3/15/2009
15628,317593,3118629,Harold,Davenport,Male,Hispanic,12,12/24/2005
15628,817614,2365398,Richard,Jackson,Male,Hispanic,8,1/18/2009
15628,577973,9715905,Richard,Davis,Male,Hispanic,12,7/13/2005
15628,858974,3826368,Shanna,Acosta,Female,Asian,8,10/12/2009
15628,184148,9830358,Pam,Day,Female,Multiple,8,6/21/2009
15628,291615,8766083,Alice,Williams,Female,White,12,3/2/2005
15628,197400,4930854,Edward,Fischer,Male,Multiple,11,9/28/2006
15628,741559,4178794,Damien,Gates,Male,Multiple,10,11/17/2006
15628,628153,9895965,Robert,Lopez,Male,White,12,4/19/2006
15628,512061,8045299,Willie,Wilson,Female,Black,12,6/11/2005
15628,390121,7426399,Dion,Jacobs,Male,Multiple,10,3/14/2007
15628,926065,9160643,Deana,Bartlett,Female,Hispanic,12,7/28/2004
15628,984820,6235234,Nina,King,Female,Multiple,10,4/18/2007
15628,943145,9934015,Charles,Cruz,Male,Asian,9,7/19/2008
15628,549025,6254567,Jose,Cox,Male,Black,11,4/10/2006
15628,790399,1082477,Michael,Williams,Male,Hispanic,8,5/15/2009
15628,993606,2910040,Ruth,Parker,Female,Asian,11,4/10/2006
15628,380106,4564420,Carlos,Howell,Male,Black,12,7/3/2005
15628,194017,9929120,Charles,Wilson,Male,Asian,9,12/1/2008
15628,146624,8465776,Gwendolyn,Lopez,Female,Black,10,9/18/2006
15628,364462,6880334,Gregory,Gomez,Male,Black,11,1/24/2006
15628,585202,3335952,Carol,Smith,Female,White,10,10/25/2008
15628,248037,2181915,Beverly,Hodges,Female,Black,10,6/9/2007
15628,699030,6243519,Nora,Robbins,Female,White,11,10/16/2006
15628,855834,3441676,Lois,Jones,Female,Asian,9,3/23/2008
15628,876262,3955659,Johnnie,Lane,Male,Multiple,12,12/1/2005
15628,987867,6216075,Ruben,Martinez,Male,Black,12,4/16/2004
15628,940586,9095016,Dennis,Ryan,Male,Black,12,9/3/2005
15628,393585,8070421,William,Hernandez,Male,Black,11,6/14/2006
15628,175402,4881943,Daren,Gilbert,Male,Hispanic,9,2/17/2008
15628,365598,1283213,Ashley,Meza,Female,Hispanic,9,3/22/2008
15628,333809,1020974,Steven,Ramirez,Male,Black,8,7/15/2009
15628,294611,5749262,Veronica,Rosales,Female,Asian,12,9/15/2005
15628,951541,8279552,Connie,Wolf,Male,Hispanic,11,3/8/2006
15628,351975,6190621,Alice,Hernandez,Female,Hispanic,10,7/10/2006
15628,987394,7477361,Billy,Grimes,Male,Black,12,3/13/2005
15628,669067,8568960,Deborah,Rodgers,Female,Multiple,12,6/20/2005
